Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of striated muscle tissue development (GO:0016202)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.13492139251222690088383160400553606450557708740234375	0.076664657457296225828713431837968528270721435546875	0.2034537021049747929080098174381419084966182708740234375	-2.077261448426456	6.0574389703422575	LEF1
regulation of fatty acid beta-oxidation (GO:0031998)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-2.144374483107161	6.054622801431786	IRS2
lymphocyte differentiation (GO:0030098)	3/74	0.00810483362378689072003101756536125321872532367706298828125	0.046841623985384307771173695300603867508471012115478515625	0.0182045830858208294855682396473639528267085552215576171875	0.10325630713066226429308613887769752182066440582275390625	-1.2554190342132092	6.045212560972562	CD79A;CEBPG;IL2
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	3/60	0.00452468992938101326195532436713619972579181194305419921875	0.03154829675531715948988420450405101291835308074951171875	0.0106240365774512186824996007317167823202908039093017578125	0.07510946789639931508997250375614385120570659637451171875	-1.1177121742978064	6.033640820486109	ACVR1;TNFSF12;IGF1
peptidyl-arginine omega-N-methylation (GO:0035247)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.13492139251222690088383160400553606450557708740234375	0.076664657457296225828713431837968528270721435546875	0.2034537021049747929080098174381419084966182708740234375	-2.068946184128399	6.033191080869365	PRMT1
response to axon injury (GO:0048678)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.142561027654894922900297160595073364675045013427734375	0.089964464681068445628397967084310948848724365234375	0.2094119239130536325177445178269408643245697021484375	-2.2016556140147823	6.030795862529261	DHFR
purine ribonucleoside triphosphate metabolic process (GO:0009205)	2/33	0.01440828704451869481106829340433250763453543186187744140625	0.066164943527699138225983688244014047086238861083984375	0.02633271081048570161353694629724486730992794036865234375	0.125038368466191485151028928157757036387920379638671875	-1.4172068335335684	6.008888592149785	HSPA1B;HSPA1A
radial glial cell differentiation (GO:0060019)	1/8	0.04355451225469590681438347701259772293269634246826171875	0.1251471807696366289608391753063187934458255767822265625	0.063172356769402693288384398329071700572967529296875	0.1932031836810705893725526038906536996364593505859375	-1.916194803548986	6.004860078866407	LEF1
protein ubiquitination (GO:0016567)	9/507	0.00206921249362312931197038778918795287609100341796875	0.0183929999433167061517746532217643107287585735321044921875	0.0123098987542085043511708164487572503276169300079345703125	0.08242751588721113076285718079816433601081371307373046875	-0.9682208450041392	5.984173343932212	RNF11;PCNA;UBB;BTBD2;BCL2;NEDD8;UBE2G2;VHL;RNF4
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	3/98	0.0172850978823615962498561060556312440894544124603271484375	0.07257831155024759006710866060529951937496662139892578125	0.03666696320927297081393447797381668351590633392333984375	0.1523597584986591535471944780510966666042804718017578125	-1.4743551618463218	5.982801355050371	FCER1G;DYNLL1;DYNLL2
regulation of gene expression (GO:0010468)	12/1038	0.012543474799304642208763738153720623813569545745849609375	0.0610900028640848080652148155422764830291271209716796875	0.07572633570134666702866610421551740728318691253662109375	0.2034537021049747929080098174381419084966182708740234375	-1.360111694301117	5.955323431108175	RBL2;PLSCR1;NFYA;PRMT1;LEF1;IGF2;IGF1;VHL;HOXB7;HSPA1B;MAPK12;HSPA1A
regulation of integrin activation (GO:0033623)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.13492139251222690088383160400553606450557708740234375	0.076664657457296225828713431837968528270721435546875	0.2034537021049747929080098174381419084966182708740234375	-2.0385928355607827	5.9446786037167465	CXCL13
negative regulation of cell growth (GO:0030308)	4/116	0.0039949813018656070429113214004246401600539684295654296875	0.0289160551373129660890359815539341070689260959625244140625	0.011133028178104860395070119238880579359829425811767578125	0.07588431762654435086545845479122363030910491943359375	-1.0745620765874395	5.934501581867047	CCDC85B;HSPA1B;HSPA1A;PPP1R9B
negative regulation of mitochondrion organization (GO:0010823)	2/34	0.015253909509035178115876618676338694058358669281005859375	0.067795153373489680515007194117060862481594085693359375	0.0277523864740336252687757934154433314688503742218017578125	0.12744298320402147606245080169173888862133026123046875	-1.418718617627993	5.934385696256724	IGF1;HSPA1A
glycogen metabolic process (GO:0005977)	2/34	0.015253909509035178115876618676338694058358669281005859375	0.067795153373489680515007194117060862481594085693359375	0.0277523864740336252687757934154433314688503742218017578125	0.12744298320402147606245080169173888862133026123046875	-1.417008134380171	5.927230882614727	UBB;CALM1
positive regulation of bone remodeling (GO:0046852)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-2.0893129370532137	5.899157002502274	TNFSF11
cellular response to tumor necrosis factor (GO:0071356)	5/195	0.004660533831702448788469883567131546442396938800811767578125	0.03205435033569105363060458557811216451227664947509765625	0.0149491444976825038626344621661701239645481109619140625	0.09382547570764528110931479432110791094601154327392578125	-1.098101426652894	5.895295080501372	UBB;TNFSF12;TNFSF11;TNFRSF14;TNFRSF13C
isoprenoid metabolic process (GO:0006720)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1312273171077626698899365464967559091746807098388671875	0.06994274031347613718168076957226730883121490478515625	0.1987158229466985392974720525671727955341339111328125	-1.9518636534375635	5.892082515443885	MVD
regulation of epithelial to mesenchymal transition (GO:0010717)	3/69	0.00668280295196712302574493236306807375513017177581787109375	0.04197463011152903489264787140200496651232242584228515625	0.01523019885288754739216532385626123868860304355621337890625	0.09487664859175849729755469752490171231329441070556640625	-1.175683807001302	5.888080541008397	SDCBP;LEF1;FOXA2
macrophage migration (GO:1905517)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-2.07941486615917	5.871209884964095	SAA1
establishment of Golgi localization (GO:0051683)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1312273171077626698899365464967559091746807098388671875	0.06994274031347613718168076957226730883121490478515625	0.1987158229466985392974720525671727955341339111328125	-1.9435321469244968	5.866932232140801	CDC42
positive regulation of protein modification process (GO:0031401)	5/164	0.0022223127786785944193237440913435420952737331390380859375	0.019302373849094077440380345933590433560311794281005859375	0.00759429861532119089562176128538339980877935886383056640625	0.062060934920904357869897438604311901144683361053466796875	-0.9592986567129212	5.8605539086598695	DVL2;IGF2;PIN1;RAC1;CALM1
positive regulation of protein homooligomerization (GO:0032464)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.13492139251222690088383160400553606450557708740234375	0.076664657457296225828713431837968528270721435546875	0.2034537021049747929080098174381419084966182708740234375	-2.003772000939756	5.843138626275279	HRK
positive regulation of muscle cell differentiation (GO:0051149)	2/35	0.0161204005126465814423664113519407692365348339080810546875	0.0696108203955193294287795424679643474519252777099609375	0.029202253006342056285138397697664913721382617950439453125	0.1317134260226704156604426998455892316997051239013671875	-1.4142187651562663	5.837427941177855	CDC42;MAPK12
regulation of receptor-mediated endocytosis (GO:0048259)	2/37	0.0179149770553785094018284240746652358211576938629150390625	0.07359666249777117863484221516046090982854366302490234375	0.032190559400025429981351265951161622069776058197021484375	0.1382193510961543803094997429070645011961460113525390625	-1.443784991983629	5.807073906102491	RAC1;ARF6
regulation of cholesterol biosynthetic process (GO:0045540)	2/41	0.02174354882880048800419814369888626970350742340087890625	0.0840971863098644856204799680199357680976390838623046875	0.038507778035555446927151734826111351139843463897705078125	0.1548460915715457186792036736733280122280120849609375	-1.5163091106201239	5.805095678157356	NFYA;MVD
intraciliary transport involved in cilium assembly (GO:0035735)	2/41	0.02174354882880048800419814369888626970350742340087890625	0.0840971863098644856204799680199357680976390838623046875	0.038507778035555446927151734826111351139843463897705078125	0.1548460915715457186792036736733280122280120849609375	-1.5140488101434972	5.796442257534673	DYNLL1;DYNLL2
muscle cell fate commitment (GO:0042693)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.13492139251222690088383160400553606450557708740234375	0.076664657457296225828713431837968528270721435546875	0.2034537021049747929080098174381419084966182708740234375	-1.9859270024871971	5.791101368695542	ACVR1
regulation of granulocyte differentiation (GO:0030852)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-2.0510096576210444	5.791008024398603	LEF1
cellular response to interleukin-2 (GO:0071352)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.142561027654894922900297160595073364675045013427734375	0.089964464681068445628397967084310948848724365234375	0.2094119239130536325177445178269408643245697021484375	-2.1103738747930247	5.7807560598831085	IL2
entry into host cell (GO:0030260)	2/34	0.015253909509035178115876618676338694058358669281005859375	0.067795153373489680515007194117060862481594085693359375	0.0277523864740336252687757934154433314688503742218017578125	0.12744298320402147606245080169173888862133026123046875	-1.3817062005276541	5.779565736967425	UBB;GRB2
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	3/98	0.0172850978823615962498561060556312440894544124603271484375	0.07257831155024759006710866060529951937496662139892578125	0.03666696320927297081393447797381668351590633392333984375	0.1523597584986591535471944780510966666042804718017578125	-1.4159124774880538	5.745646170044906	FCER1G;DYNLL1;DYNLL2
response to interleukin-6 (GO:0070741)	1/13	0.0698158810277721697534758504843921400606632232666015625	0.1488561275369461311957053339938283897936344146728515625	0.0965430348192064247125898646118002943694591522216796875	0.215169227163040710504304797723307274281978607177734375	-2.1555273934550923	5.7377849466112085	FOXA2
regulation of insulin receptor signaling pathway (GO:0046626)	2/35	0.0161204005126465814423664113519407692365348339080810546875	0.0696108203955193294287795424679643474519252777099609375	0.029202253006342056285138397697664913721382617950439453125	0.1317134260226704156604426998455892316997051239013671875	-1.3754256107739657	5.677302613401818	IGF2;IGF1
positive regulation of tissue remodeling (GO:0034105)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1312273171077626698899365464967559091746807098388671875	0.06994274031347613718168076957226730883121490478515625	0.1987158229466985392974720525671727955341339111328125	-1.8785310883642197	5.67071381291165	IL2
transcription, DNA-templated (GO:0006351)	6/357	0.0146754048505293062387710989469269406981766223907470703125	0.0669868329513650107021049961986136622726917266845703125	0.0477665362228789913690008006597054190933704376220703125	0.1806097887034230631275733003349159844219684600830078125	-1.3424138501858434	5.6671105839586655	CDK9;NFYA;TAF10;LEF1;DVL2;SMN1
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	3/99	0.0177547360193967829200545338608208112418651580810546875	0.07359666249777117863484221516046090982854366302490234375	0.03758553655496611745068236132283345796167850494384765625	0.1548238904161205742315843281176057644188404083251953125	-1.4034008879652657	5.6572535025322255	FCER1G;DYNLL1;DYNLL2
proteasomal protein catabolic process (GO:0010498)	5/238	0.01057507089809114377010335061868318007327616214752197265625	0.05448850089863911672072305236724787391722202301025390625	0.03141282231086896248317685831352719105780124664306640625	0.1376008354827689406096880020413664169609546661376953125	-1.2406616490599287	5.6440872645600715	RNF11;RNF216;UBB;BTBD2;RNF4
regulation of protein dephosphorylation (GO:0035304)	2/41	0.02174354882880048800419814369888626970350742340087890625	0.0840971863098644856204799680199357680976390838623046875	0.038507778035555446927151734826111351139843463897705078125	0.1548460915715457186792036736733280122280120849609375	-1.4720575296258345	5.635681236351013	PIN1;CALM1
peptidyl-serine dephosphorylation (GO:0070262)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.9946082572573653	5.631759158417041	PPP1CA
dorsal/ventral axis specification (GO:0009950)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.9931766741108004	5.627717095787766	MDFI
protein neddylation (GO:0045116)	1/14	0.07498176071637718820284135290421545505523681640625	0.154225001744104639467281003817333839833736419677734375	0.10307449869214292681451894395650015212595462799072265625	0.2200466826012039966986577610441599972546100616455078125	-2.1709327391524456	5.623823806930643	NEDD8
actin filament organization (GO:0007015)	4/121	0.00464102803459205855152180930645045009441673755645751953125	0.03205435033569105363060458557811216451227664947509765625	0.012781724640011045412979484581228462047874927520751953125	0.0842416156039569041791281733821961097419261932373046875	-1.0465409296419825	5.622875386760738	CDC42;RHOG;RAC1;PPP1R9B
epithelial cell migration (GO:0010631)	2/37	0.0179149770553785094018284240746652358211576938629150390625	0.07359666249777117863484221516046090982854366302490234375	0.032190559400025429981351265951161622069776058197021484375	0.1382193510961543803094997429070645011961460113525390625	-1.3970835943706417	5.619235364378703	TNFSF12;PXN
regulation of canonical Wnt signaling pathway (GO:0060828)	5/214	0.006863112608981403704733192938647334813140332698822021484375	0.042929757883340462221166689005258376710116863250732421875	0.0212532402127202819930307242657363531179726123809814453125	0.112169878900468145133118014200590550899505615234375	-1.1270368250013887	5.614440118572924	UBB;LEF1;DVL2;PIN1;PPP1CA
translesion synthesis (GO:0019985)	2/43	0.0237736420429604279613844397545108222402632236480712890625	0.08966733475260509067528147397752036340534687042236328125	0.04182906278693564183779329823664738796651363372802734375	0.1653374493104417253253046737881959415972232818603515625	-1.501367246116777	5.613879060108103	PCNA;UBB
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	6/292	0.00579933285267930816175852015703640063293278217315673828125	0.0376708800686861022821716460384777747094631195068359375	0.0209575974744678449057655456044813035987317562103271484375	0.11104017300143566304715392334401258267462253570556640625	-1.0887757271180056	5.607208488340704	RNF11;RNF216;UBB;BTBD2;UBE2G2;RNF4
atrial septum morphogenesis (GO:0060413)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.142561027654894922900297160595073364675045013427734375	0.089964464681068445628397967084310948848724365234375	0.2094119239130536325177445178269408643245697021484375	-2.0440048923251672	5.598957515951184	ACVR1
polarized epithelial cell differentiation (GO:0030859)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.9813234486660156	5.5942496162901945	CDC42
negative regulation of cell death (GO:0060548)	3/82	0.010725040761456243465499227340842480771243572235107421875	0.0548890974997087166542542036040686070919036865234375	0.023588977207119825318937245128836366347968578338623046875	0.1171740044275233205706143735369550995528697967529296875	-1.2332910211882344	5.593189390466156	IKBKG;HSPA1B;HSPA1A
RNA catabolic process (GO:0006401)	2/44	0.024816803045123576876296311866099131293594837188720703125	0.09177990420580982300347017144304118119180202484130859375	0.043528747123427337373247070217985310591757297515869140625	0.1687849378255345811350451867838273756206035614013671875	-1.5120298620799302	5.588816658647422	HSPA1B;HSPA1A
neuron projection regeneration (GO:0031102)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.979052768826088	5.587838371406485	DHFR
peptidyl-tyrosine phosphorylation (GO:0018108)	3/80	0.0100295355358662081901588436494421330280601978302001953125	0.052750498320126772144877946857377537526190280914306640625	0.022170511072640793071020226534528774209320545196533203125	0.114695208536766901641357208063709549605846405029296875	-1.213890595583429	5.586592773181851	CSK;FYN;GRB2
response to metal ion (GO:0010038)	3/73	0.0078073492820204988540400137253527645952999591827392578125	0.0458191926975720364989541621980606578290462493896484375	0.017585734133132004120003699654262163676321506500244140625	0.1016361820622077860587495479194330982863903045654296875	-1.1509652680073617	5.58527738542466	BCL2;CALM1;PPP1CA
regulation of gene expression by genetic imprinting (GO:0006349)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.97110096681396	5.565386527218646	IGF2
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.9704194547241531	5.56346228372904	C1QBP
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.9616988551875476	5.538839746381933	WNT1
Wnt signaling pathway, calcium modulating pathway (GO:0007223)	2/37	0.0179149770553785094018284240746652358211576938629150390625	0.07359666249777117863484221516046090982854366302490234375	0.032190559400025429981351265951161622069776058197021484375	0.1382193510961543803094997429070645011961460113525390625	-1.376236150843856	5.535384482159037	LEF1;CALM1
ubiquitin-dependent protein catabolic process (GO:0006511)	7/342	0.0029920158517152384801407460912514579831622540950775146484375	0.0239556429777019082305589137149581802077591419219970703125	0.0132417489810335020639087133531575091183185577392578125	0.0856487593666847846218814765961724333465099334716796875	-0.9522542058036234	5.53431853595296	RNF11;RNF216;UBB;BTBD2;NEDD8;UBE2G2;RNF4
negative regulation of DNA binding (GO:0043392)	2/35	0.0161204005126465814423664113519407692365348339080810546875	0.0696108203955193294287795424679643474519252777099609375	0.029202253006342056285138397697664913721382617950439453125	0.1317134260226704156604426998455892316997051239013671875	-1.3391940600726147	5.5277507395141185	LEF1;MDFI
cellular iron ion homeostasis (GO:0006879)	2/57	0.039972191772546177002123357624441268853843212127685546875	0.12450354814399629266308267006024834699928760528564453125	0.06777988914680632692721928833634592592716217041015625	0.1987158229466985392974720525671727955341339111328125	-1.7151305960653669	5.5219851953726975	UBB;NEDD8
positive regulation of gastrulation (GO:2000543)	1/8	0.04355451225469590681438347701259772293269634246826171875	0.1251471807696366289608391753063187934458255767822265625	0.063172356769402693288384398329071700572967529296875	0.1932031836810705893725526038906536996364593505859375	-1.7576477123956162	5.5080144050737605	FOXA2
tetrahydrofolate metabolic process (GO:0046653)	1/14	0.07498176071637718820284135290421545505523681640625	0.154225001744104639467281003817333839833736419677734375	0.10307449869214292681451894395650015212595462799072265625	0.2200466826012039966986577610441599972546100616455078125	-2.1229192697798513	5.499444415878505	DHFR
regulation of focal adhesion assembly (GO:0051893)	2/45	0.0258783933358835878391079887705927831120789051055908203125	0.09478351294106761304458785843962687067687511444091796875	0.045253853486418270379854078555581509135663509368896484375	0.1728287871843109668734683737056911922991275787353515625	-1.5006981729084299	5.484071704867443	RAC1;S100A10
axon guidance (GO:0007411)	4/159	0.01193861686082737204317449908330672769807279109954833984375	0.059216811859116737226660376336440094746649265289306640625	0.030424144246861663243297613234972232021391391754150390625	0.134787138693025720925788846216164529323577880859375	-1.2346333569603565	5.466928130930353	VASP;FYN;GRB2;IRS2
regulation of G-protein coupled receptor protein signaling pathway (GO:0008277)	3/75	0.0084089242504797497013147022926204954273998737335205078125	0.047609814394231488032804833210320794023573398590087890625	0.018835453253753853264385043075890280306339263916015625	0.10448864578724766094541820393715170212090015411376953125	-1.1386390095124745	5.44094292705072	RGS2;CALM1;PPP1R9B
relaxation of muscle (GO:0090075)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.142561027654894922900297160595073364675045013427734375	0.089964464681068445628397967084310948848724365234375	0.2094119239130536325177445178269408643245697021484375	-1.9836996410287997	5.433768801743642	RGS2
regulation of cell cycle process (GO:0010564)	3/91	0.01419517007758172404130458943427584017626941204071044921875	0.066164943527699138225983688244014047086238861083984375	0.0305684524594134199304562571342103183269500732421875	0.134787138693025720925788846216164529323577880859375	-1.2764189345823111	5.430975580994577	CDC42;PIN1;CALM1
positive regulation of reproductive process (GO:2000243)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.9214324608396733	5.425147930297261	C1QBP
regulation of mitotic cell cycle phase transition (GO:1901990)	4/185	0.019733543794302248197691795894570532254874706268310546875	0.0799866308462384434374570219006272964179515838623046875	0.048064966974366567231680136274007963947951793670654296875	0.181287220349968192234513253424665890634059906005859375	-1.3814808920699393	5.422913943676713	YWHAE;UBB;DYNLL1;PPP1R9B
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	3/79	0.00969196319418405387302595244136682595126330852508544921875	0.051834902447046131424013282185114803723990917205810546875	0.0214793795664941396250657845712339621968567371368408203125	0.11258157565886584006165094251628033816814422607421875	-1.164423107714448	5.398799151711646	UBB;VHL;RBPJ
negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1312273171077626698899365464967559091746807098388671875	0.06994274031347613718168076957226730883121490478515625	0.1987158229466985392974720525671727955341339111328125	-1.7883434174903499	5.398464674131561	UBE2G2
macrophage differentiation (GO:0030225)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.142561027654894922900297160595073364675045013427734375	0.089964464681068445628397967084310948848724365234375	0.2094119239130536325177445178269408643245697021484375	-1.9659303231569023	5.385094918317164	CDC42
regulation of mitochondrial translation (GO:0070129)	1/16	0.08522837842910126193718411968802683986723423004150390625	0.16315760102296461564463925242307595908641815185546875	0.115997441676435053548033238257630728185176849365234375	0.228617249987488391216317040743888355791568756103515625	-2.1858978110302734	5.382600281261345	C1QBP
neuroepithelial cell differentiation (GO:0060563)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1386870425009851803821447902009822428226470947265625	0.083338451838386118364354615550837479531764984130859375	0.2056403357051086178142185190154123120009899139404296875	-1.903940483518915	5.3757594836603975	LEF1
negative regulation of mRNA 3'-end processing (GO:0031441)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.13492139251222690088383160400553606450557708740234375	0.076664657457296225828713431837968528270721435546875	0.2034537021049747929080098174381419084966182708740234375	-1.8397535028695005	5.364849269477953	CDK9
regulation of glycogen (starch) synthase activity (GO:2000465)	1/8	0.04355451225469590681438347701259772293269634246826171875	0.1251471807696366289608391753063187934458255767822265625	0.063172356769402693288384398329071700572967529296875	0.1932031836810705893725526038906536996364593505859375	-1.7075030478518969	5.350873965213972	IGF2
positive regulation of mitotic nuclear division (GO:0045840)	2/41	0.02174354882880048800419814369888626970350742340087890625	0.0840971863098644856204799680199357680976390838623046875	0.038507778035555446927151734826111351139843463897705078125	0.1548460915715457186792036736733280122280120849609375	-1.3957029284241085	5.343362366577624	IGF2;IGF1
phosphatidylinositol 3-kinase signaling (GO:0014065)	2/31	0.0127806716518282688366259236545374733395874500274658203125	0.0610900028640848080652148155422764830291271209716796875	0.02358596494166731449837470790953375399112701416015625	0.1171740044275233205706143735369550995528697967529296875	-1.2214977628070796	5.325511935480487	C1QBP;IGF1
DNA damage induced protein phosphorylation (GO:0006975)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1312273171077626698899365464967559091746807098388671875	0.06994274031347613718168076957226730883121490478515625	0.1987158229466985392974720525671727955341339111328125	-1.7637729219996114	5.324293823815348	MAPK12
mRNA catabolic process (GO:0006402)	2/37	0.0179149770553785094018284240746652358211576938629150390625	0.07359666249777117863484221516046090982854366302490234375	0.032190559400025429981351265951161622069776058197021484375	0.1382193510961543803094997429070645011961460113525390625	-1.3236336384284682	5.32381095913526	HSPA1B;HSPA1A
negative regulation of Wnt signaling pathway (GO:0030178)	4/175	0.01644281444444663231596592822825186885893344879150390625	0.07080192055399116279890137093389057554304599761962890625	0.040730438492814331763458568502755952067673206329345703125	0.1620687604949680171717574239664827473461627960205078125	-1.293470469637548	5.313404281413284	UBB;LEF1;DVL2;MDFI
positive regulation of Ras protein signal transduction (GO:0046579)	2/41	0.02174354882880048800419814369888626970350742340087890625	0.0840971863098644856204799680199357680976390838623046875	0.038507778035555446927151734826111351139843463897705078125	0.1548460915715457186792036736733280122280120849609375	-1.3870783383487426	5.310343656723728	IGF1;RAC1
regulation of muscle organ development (GO:0048634)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1312273171077626698899365464967559091746807098388671875	0.06994274031347613718168076957226730883121490478515625	0.1987158229466985392974720525671727955341339111328125	-1.758371254522806	5.30798783315956	LEF1
regulation of steroid biosynthetic process (GO:0050810)	2/45	0.0258783933358835878391079887705927831120789051055908203125	0.09478351294106761304458785843962687067687511444091796875	0.045253853486418270379854078555581509135663509368896484375	0.1728287871843109668734683737056911922991275787353515625	-1.4518912314569876	5.305714210038062	NFYA;MVD
positive regulation of signal transduction (GO:0009967)	5/207	0.00598128348761488813634112915451623848639428615570068359375	0.038215440009127542297928670222972868941724300384521484375	0.018759194465877822299848531883981195278465747833251953125	0.1044467970261329370362801682858844287693500518798828125	-1.0357624001023518	5.302192125345113	IGF2;TNFSF11;IGF1;RBPJ;WNT1
regulation of cholesterol metabolic process (GO:0090181)	2/42	0.022749145059156365700214763592157396487891674041748046875	0.0866634097491671140378599602627218700945377349853515625	0.0401552536535325910183047426471603102982044219970703125	0.16062101461413036407321897058864124119281768798828125	-1.399189621853311	5.293452954688606	NFYA;MVD
positive regulation of peptide hormone secretion (GO:0090277)	2/40	0.0207570921026153654143087123884470202028751373291015625	0.08259366491093024509329012516900547780096530914306640625	0.036887099425991165535521076890290714800357818603515625	0.1523597584986591535471944780510966666042804718017578125	-1.3591659884314782	5.26658784741152	TNFSF11;IRS2
cellular response to interferon-beta (GO:0035458)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.142561027654894922900297160595073364675045013427734375	0.089964464681068445628397967084310948848724365234375	0.2094119239130536325177445178269408643245697021484375	-1.9213731008141999	5.263043353831038	UBE2G2
muscle cell differentiation (GO:0042692)	2/37	0.0179149770553785094018284240746652358211576938629150390625	0.07359666249777117863484221516046090982854366302490234375	0.032190559400025429981351265951161622069776058197021484375	0.1382193510961543803094997429070645011961460113525390625	-1.3078761583364362	5.260432511529533	IGF1;MAPK12
ERBB2 signaling pathway (GO:0038128)	2/40	0.0207570921026153654143087123884470202028751373291015625	0.08259366491093024509329012516900547780096530914306640625	0.036887099425991165535521076890290714800357818603515625	0.1523597584986591535471944780510966666042804718017578125	-1.357440406199103	5.259901445241301	UBB;GRB2
neuron projection morphogenesis (GO:0048812)	4/164	0.0132482174460963157691661962189755286090075969696044921875	0.06312630256447147869547364962272695265710353851318359375	0.033456564966995068488575526544082094915211200714111328125	0.14244811974742999094445394803187809884548187255859375	-1.2128847416538258	5.244382956376115	CDC42;UBB;RHOG;RAC1
inositol lipid-mediated signaling (GO:0048017)	2/40	0.0207570921026153654143087123884470202028751373291015625	0.08259366491093024509329012516900547780096530914306640625	0.036887099425991165535521076890290714800357818603515625	0.1523597584986591535471944780510966666042804718017578125	-1.349527683827623	5.229240696049313	IRS2;IGF1
transcription from RNA polymerase II promoter (GO:0006366)	8/486	0.005719864511926918242135098324752107146196067333221435546875	0.03731413758853611983834497323186951689422130584716796875	0.0265495907387398068222328362253392697311937808990478515625	0.125038368466191485151028928157757036387920379638671875	-1.010102856348784	5.215979392861931	CDK9;NFYA;TAF10;LEF1;MED31;DVL2;E2F2;RBPJ
Rho protein signal transduction (GO:0007266)	3/73	0.0078073492820204988540400137253527645952999591827392578125	0.0458191926975720364989541621980606578290462493896484375	0.017585734133132004120003699654262163676321506500244140625	0.1016361820622077860587495479194330982863903045654296875	-1.0745191775910758	5.214308224256645	CDC42;RHOG;RAC1
regulation of pseudopodium assembly (GO:0031272)	1/13	0.0698158810277721697534758504843921400606632232666015625	0.1488561275369461311957053339938283897936344146728515625	0.0965430348192064247125898646118002943694591522216796875	0.215169227163040710504304797723307274281978607177734375	-1.9561451435526933	5.207050577108382	CDC42
