"Term","Overlap","P-value","Genes"
"Rac protein signal transduction (GO:0016601)","2/20",0.00543344756525352,"RHOG;RAC1"
"response to interferon-beta (GO:0035456)","2/20",0.00543344756525352,"PLSCR1;UBE2G2"
"positive regulation of adherens junction organization (GO:1903393)","2/20",0.00543344756525352,"RAC1;S100A10"
"positive regulation of cell adhesion (GO:0045785)","3/65",0.00566112516451074,"C1QBP;SAA1;RAC1"
"transcription from RNA polymerase II promoter (GO:0006366)","8/486",0.00571986451192692,"CDK9;NFYA;TAF10;LEF1;MED31;DVL2;E2F2;RBPJ"
"positive regulation of signal transduction (GO:0009967)","5/207",0.00598128348761489,"IGF2;TNFSF11;IGF1;RBPJ;WNT1"
"error-prone translesion synthesis (GO:0042276)","2/21",0.00598373336985023,"PCNA;UBB"
"entrainment of circadian clock by photoperiod (GO:0043153)","2/21",0.00598373336985023,"PPP1CC;PPP1CA"
"striated muscle cell development (GO:0055002)","2/21",0.00598373336985023,"LEF1;IGF1"
"insulin receptor signaling pathway (GO:0008286)","3/68",0.00641783570214425,"IGF2;GRB2;IRS2"
"photoperiodism (GO:0009648)","2/22",0.00655838114403162,"PPP1CC;PPP1CA"
"regulation of cardiac muscle hypertrophy (GO:0010611)","2/22",0.00655838114403162,"RGS2;IGF1"
"positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)","3/70",0.00695420103739589,"CDC42;RAC1;WNT1"
"cellular response to unfolded protein (GO:0034620)","2/23",0.0071571085194568,"HSPA1B;HSPA1A"
"regulation of cytosolic calcium ion concentration (GO:0051480)","4/138",0.00735552753205843,"YWHAE;GNA15;SAA1;CXCL13"
"response to insulin (GO:0032868)","3/72",0.00751643852278584,"IGF2;IRS2;IGF1"
"positive regulation of cell junction assembly (GO:1901890)","2/24",0.00777963546293175,"RAC1;S100A10"
"viral budding (GO:0046755)","2/24",0.00777963546293175,"CHMP1B;VTA1"
"nucleotide-excision repair, DNA gap filling (GO:0006297)","2/24",0.00777963546293175,"PCNA;UBB"
"positive regulation of ERBB signaling pathway (GO:1901186)","2/24",0.00777963546293175,"UBB;RBPJ"
"Rho protein signal transduction (GO:0007266)","3/73",0.0078073492820205,"CDC42;RHOG;RAC1"
"mitotic cell cycle phase transition (GO:0044772)","5/222",0.00797813905569526,"ACVR1;YWHAE;UBB;EIF4EBP1;DYNLL1"
"positive regulation of neutrophil chemotaxis (GO:0090023)","2/25",0.00842568425792649,"C1QBP;RAC1"
"dendritic spine organization (GO:0097061)","2/25",0.00842568425792649,"CDC42;FYN"
"chaperone mediated protein folding requiring cofactor (GO:0051085)","2/25",0.00842568425792649,"HSPA1B;HSPA1A"
"cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)","2/25",0.00842568425792649,"UBB;IKBKG"
"positive regulation of neutrophil migration (GO:1902624)","2/26",0.00909497948936665,"C1QBP;RAC1"
"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)","2/26",0.00909497948936665,"UBB;IKBKG"
"positive regulation of glucose transport (GO:0010828)","2/26",0.00909497948936665,"IRS2;IGF1"
"signal transduction in response to DNA damage (GO:0042770)","2/26",0.00909497948936665,"GRB2;WNT1"
"positive regulation of nuclear division (GO:0051785)","2/26",0.00909497948936665,"IGF2;IGF1"
"response to amyloid-beta (GO:1904645)","2/26",0.00909497948936665,"FYN;IGF1"
"regulation of cytokinesis (GO:0032465)","3/78",0.00936114347643867,"CDC42;PIN1;CALM1"
"regulation of cellular response to heat (GO:1900034)","3/79",0.00969196319418405,"YWHAE;HSPA1B;HSPA1A"
"apoptotic cell clearance (GO:0043277)","2/27",0.00978724802783042,"RHOG;RAC1"
"cytoskeleton-dependent intracellular transport (GO:0030705)","2/27",0.00978724802783042,"DYNLL1;DYNLL2"
"positive regulation of granulocyte chemotaxis (GO:0071624)","2/27",0.00978724802783042,"C1QBP;RAC1"
"positive regulation of glucose import (GO:0046326)","2/27",0.00978724802783042,"IRS2;IGF1"
"regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)","2/27",0.00978724802783042,"DHFR;PCNA"
"regulation of signal transduction (GO:0009966)","5/234",0.00987811487938914,"ACVR1;PLSCR1;RGS2;PXN;CSK"
"cellular response to DNA damage stimulus (GO:0006974)","6/330",0.0102761035101168,"H2AFX;BCL2;GRB2;IKBKG;WNT1;MAPK12"
"regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)","3/81",0.0103738864379118,"IGF2;IGF1;HCST"
"positive regulation of stress-activated MAPK cascade (GO:0032874)","3/81",0.0103738864379118,"SDCBP;PRMT1;GADD45G"
"regulation of calcium ion transmembrane transporter activity (GO:1901019)","2/28",0.0105022190079315,"YWHAE;CALM1"
"cellular response to topologically incorrect protein (GO:0035967)","2/28",0.0105022190079315,"HSPA1B;HSPA1A"
"positive regulation of binding (GO:0051099)","3/82",0.0107250407614562,"CEBPG;IGF1;NME1"
"positive regulation of protein secretion (GO:0050714)","3/83",0.0110830223019435,"SAA1;IRS2;IGF1"
"nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)","2/29",0.0112396238199743,"UBB;IKBKG"
"positive regulation of fibroblast proliferation (GO:0048146)","2/29",0.0112396238199743,"IGF1;WNT1"
"TRIF-dependent toll-like receptor signaling pathway (GO:0035666)","2/30",0.0119991960872421,"UBB;IKBKG"
"protein alkylation (GO:0008213)","2/30",0.0119991960872421,"PRMT1;CALM1"
"regulation of type I interferon production (GO:0032479)","3/86",0.0121981525354407,"RNF216;UBB;PIN1"
"regulation of blood coagulation (GO:0030193)","2/31",0.0127806716518283,"FCER1G;FOXA2"
"replication fork processing (GO:0031297)","2/31",0.0127806716518283,"CDK9;PCNA"
"hippo signaling (GO:0035329)","2/31",0.0127806716518283,"YWHAE;DVL2"
"phosphatidylinositol 3-kinase signaling (GO:0014065)","2/31",0.0127806716518283,"C1QBP;IGF1"
"neuron projection morphogenesis (GO:0048812)","4/164",0.0132482174460963,"CDC42;UBB;RHOG;RAC1"
"regulation of mitotic cell cycle (GO:0007346)","4/166",0.0137966816654737,"RBL2;SDCBP;EIF4EBP1;PIN1"
"positive regulation of programmed cell death (GO:0043068)","5/258",0.0145687878911978,"HRK;UBB;C1QBP;RAC1;GADD45G"
"negative regulation of transcription, DNA-templated (GO:0045892)","10/814",0.0151078248409645,"RING1;UBB;YWHAQ;CCDC85B;C1QBP;LEF1;IGF2;VHL;RBPJ;MDFI"
"regulation of protein phosphorylation (GO:0001932)","5/262",0.0154739614068943,"DVL2;IGF2;PIN1;FYN;RAC1"
"regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)","3/94",0.0154771982558193,"YWHAE;LEF1;CYCS"
"regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)","3/94",0.0154771982558193,"UBB;VHL;HSPA1A"
"protein phosphorylation (GO:0006468)","7/471",0.0160426537266321,"ACVR1;CDK9;CSNK2B;CSK;FYN;HCST;MAPK12"
"negative regulation of Wnt signaling pathway (GO:0030178)","4/175",0.0164428144444466,"UBB;LEF1;DVL2;MDFI"
"regulation of cell death (GO:0010941)","3/97",0.0168225340544258,"UBB;HSPA1B;HSPA1A"
"regulation of filopodium assembly (GO:0051489)","2/37",0.0179149770553785,"CDC42;ARF6"
"mRNA catabolic process (GO:0006402)","2/37",0.0179149770553785,"HSPA1B;HSPA1A"
"muscle cell differentiation (GO:0042692)","2/37",0.0179149770553785,"IGF1;MAPK12"
"positive regulation of cell motility (GO:2000147)","4/180",0.0180413241395223,"ACVR1;SDCBP;LEF1;IGF1"
"positive regulation of macromolecule metabolic process (GO:0010604)","5/277",0.0192021045477721,"PLSCR1;LEF1;IGF1;HSPA1B;HSPA1A"
"regulation of protein ubiquitination (GO:0031396)","3/102",0.0192061695348526,"UBB;HSPA1B;HSPA1A"
"regulation of ossification (GO:0030278)","2/39",0.0197900156657889,"ACVR1;RBPJ"
"regulation of cellular response to stress (GO:0080135)","3/105",0.0207215011674305,"YWHAE;HSPA1B;HSPA1A"
"positive regulation of peptide hormone secretion (GO:0090277)","2/40",0.0207570921026154,"TNFSF11;IRS2"
"ERBB2 signaling pathway (GO:0038128)","2/40",0.0207570921026154,"UBB;GRB2"
"inositol lipid-mediated signaling (GO:0048017)","2/40",0.0207570921026154,"IRS2;IGF1"
"purine ribonucleoside monophosphate metabolic process (GO:0009167)","2/40",0.0207570921026154,"HSPA1B;HSPA1A"
"protein polyubiquitination (GO:0000209)","5/284",0.0211280601488111,"RNF216;UBB;BCL2;UBE2G2;RNF4"
"negative regulation of signal transduction (GO:0009968)","5/284",0.0211280601488111,"ACVR1;RGS2;UBB;BCL2;MDFI"
"positive regulation of mitotic nuclear division (GO:0045840)","2/41",0.0217435488288005,"IGF2;IGF1"
"positive regulation of Ras protein signal transduction (GO:0046579)","2/41",0.0217435488288005,"IGF1;RAC1"
"regulation of release of cytochrome c from mitochondria (GO:0090199)","2/41",0.0217435488288005,"HRK;IGF1"
"response to peptide hormone (GO:0043434)","2/41",0.0217435488288005,"IGF2;IGF1"
"nucleotide-excision repair, DNA incision (GO:0033683)","2/41",0.0217435488288005,"PCNA;UBB"
"positive regulation of cytokine biosynthetic process (GO:0042108)","2/41",0.0217435488288005,"CEBPG;EBI3"
"protein homooligomerization (GO:0051260)","4/191",0.0218898433716758,"CD79A;FCER1G;TAF10;CD247"
"positive regulation of epithelial cell proliferation (GO:0050679)","3/108",0.0223008309093716,"TNFSF12;IGF1;NME1"
"positive regulation of cell cycle process (GO:0090068)","3/108",0.0223008309093716,"CDC42;IGF2;IGF1"
"positive regulation of GTPase activity (GO:0043547)","4/193",0.0226394135515627,"RHOG;PIN1;CXCL13;S100A10"
"regulation of cholesterol metabolic process (GO:0090181)","2/42",0.0227491450591564,"NFYA;MVD"
"positive regulation of viral transcription (GO:0050434)","2/42",0.0227491450591564,"CDK9;LEF1"
"nucleotide-excision repair (GO:0006289)","3/109",0.0228415042649993,"PCNA;UBB;SUMO2"
"cellular protein modification process (GO:0006464)","11/1002",0.0233689198851233,"ACVR1;CDK9;TGOLN2;PPP1CC;CSK;FYN;NEDD8;VHL;HCST;PRSS23;PPP1CA"
"cellular response to insulin stimulus (GO:0032869)","3/111",0.0239441967886166,"IGF2;GRB2;IRS2"
"negative regulation of cellular macromolecule biosynthetic process (GO:2000113)","7/513",0.024282481061365,"DHFR;RING1;YWHAQ;CCDC85B;LEF1;RBPJ;MDFI"
"regulation of protein binding (GO:0043393)","3/112",0.0245062136465144,"BCL2;PIN1;PPP1CA"
"positive regulation of interferon-gamma production (GO:0032729)","2/44",0.0248168030451236,"CEBPG;EBI3"
"response to unfolded protein (GO:0006986)","2/44",0.0248168030451236,"HSPA1B;HSPA1A"
"positive regulation of protein localization to plasma membrane (GO:1903078)","2/44",0.0248168030451236,"RHOG;ARF6"
"histone H3 acetylation (GO:0043966)","2/44",0.0248168030451236,"TAF10;LEF1"
"regulation of steroid biosynthetic process (GO:0050810)","2/45",0.0258783933358836,"NFYA;MVD"
"positive regulation of interleukin-8 production (GO:0032757)","2/45",0.0258783933358836,"HSPA1B;HSPA1A"
"lymphocyte chemotaxis (GO:0048247)","2/45",0.0258783933358836,"SAA1;CXCL13"
"vesicle-mediated transport (GO:0016192)","6/411",0.0271082813704874,"CDC42;VTA1;RHOG;RAC1;ARF6;S100A10"
"positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)","3/117",0.0274228949901468,"IGF2;IGF1;IL2"
"protein methylation (GO:0006479)","2/47",0.0280559328003786,"PRMT1;CALM1"
"regulation of fibroblast proliferation (GO:0048145)","2/47",0.0280559328003786,"IGF1;WNT1"
"intraciliary transport (GO:0042073)","2/47",0.0280559328003786,"DYNLL1;DYNLL2"
"positive regulation of protein localization to cell periphery (GO:1904377)","2/47",0.0280559328003786,"RHOG;ARF6"
"plasma membrane bounded cell projection organization (GO:0120036)","3/119",0.0286392305263762,"PRMT1;RAC1;PPP1R9B"
"postreplication repair (GO:0006301)","2/48",0.0291714224018574,"PCNA;UBB"
"positive regulation of B cell activation (GO:0050871)","3/120",0.0292580168652595,"BCL2;IRS2;IL2"
"enzyme linked receptor protein signaling pathway (GO:0007167)","3/121",0.0298838725134132,"CSK;FYN;GRB2"
"regulation of cell differentiation (GO:0045595)","3/122",0.0305167894073274,"CDK9;IGF2;VHL"
"regulation of reactive oxygen species metabolic process (GO:2000377)","2/50",0.0314547070259283,"GRB2;RAC1"
"protein autoubiquitination (GO:0051865)","2/50",0.0314547070259283,"RNF11;RNF4"
"regulation of cell migration (GO:0030334)","5/317",0.0318938995044236,"ACVR1;SDCBP;LEF1;IGF1;RAC1"
"negative regulation of macromolecule metabolic process (GO:0010605)","3/125",0.0324578179043914,"RBL2;SDCBP;VHL"
"platelet degranulation (GO:0002576)","3/125",0.0324578179043914,"IGF2;IGF1;CALM1"
"dephosphorylation (GO:0016311)","3/125",0.0324578179043914,"DUSP23;PPP1CC;PPP1CA"
"negative regulation of protein ubiquitination (GO:0031397)","2/51",0.0326220541067624,"HSPA1B;HSPA1A"
"receptor internalization (GO:0031623)","2/51",0.0326220541067624,"FCER1G;GRB2"
"myeloid leukocyte differentiation (GO:0002573)","2/51",0.0326220541067624,"CDC42;TNFSF11"
"negative regulation of multicellular organismal process (GO:0051241)","3/126",0.0331188871965715,"RBPJ;FOXA2;PFN2"
"G2/M transition of mitotic cell cycle (GO:0000086)","3/127",0.0337869685529111,"YWHAE;UBB;DYNLL1"
"cell cycle G2/M phase transition (GO:0044839)","3/128",0.0344620504235856,"YWHAE;UBB;DYNLL1"
"positive regulation of cytokine production (GO:0001819)","4/221",0.0347893996813104,"SAA1;HSPA1B;IL2;HSPA1A"
"positive regulation of ossification (GO:0045778)","2/53",0.0350070522598204,"ACVR1;IGF1"
"B cell differentiation (GO:0030183)","2/53",0.0350070522598204,"CD79A;CEBPG"
"regulation of macromolecule metabolic process (GO:0060255)","3/130",0.0358331668045451,"IGF2;IGF1;MAPK12"
"positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)","2/54",0.0362242667712544,"IGF1;IL2"
"neutrophil chemotaxis (GO:0030593)","2/54",0.0362242667712544,"FCER1G;SAA1"
"positive regulation of protein import into nucleus (GO:0042307)","2/54",0.0362242667712544,"RBPMS;IGF1"
"axonogenesis (GO:0007409)","4/224",0.036277374547792,"VASP;FYN;GRB2;IRS2"
"cell morphogenesis involved in differentiation (GO:0000904)","2/55",0.0374576703089799,"LEF1;RAC1"
"negative regulation of nucleic acid-templated transcription (GO:1903507)","6/445",0.0377483753979629,"RING1;YWHAQ;CCDC85B;LEF1;RBPJ;MDFI"
"membrane raft assembly (GO:0001765)","1/7",0.038214735111987,"S100A10"
"positive regulation of cardiac muscle contraction (GO:0060452)","1/7",0.038214735111987,"RGS2"
"positive regulation of granulocyte differentiation (GO:0030854)","1/7",0.038214735111987,"LEF1"
"folic acid-containing compound biosynthetic process (GO:0009396)","1/7",0.038214735111987,"DHFR"
"regulation of extracellular exosome assembly (GO:1903551)","1/7",0.038214735111987,"SDCBP"
"regulation of glucokinase activity (GO:0033131)","1/7",0.038214735111987,"FOXA2"
"establishment of mitochondrion localization, microtubule-mediated (GO:0034643)","1/7",0.038214735111987,"UBB"
"phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)","1/7",0.038214735111987,"CDK9"
"regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)","1/7",0.038214735111987,"UBB"
"epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)","1/7",0.038214735111987,"RBPJ"
"negative regulation of muscle cell apoptotic process (GO:0010656)","1/7",0.038214735111987,"IGF1"
"alpha-beta T cell activation (GO:0046631)","1/7",0.038214735111987,"LEF1"
"positive regulation of protein import into nucleus, translocation (GO:0033160)","1/7",0.038214735111987,"IGF1"
"regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)","1/7",0.038214735111987,"ACVR1"
"negative regulation of phospholipase activity (GO:0010519)","1/7",0.038214735111987,"RGS2"
"phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway (GO:0007207)","1/7",0.038214735111987,"GNA15"
"response to lead ion (GO:0010288)","1/7",0.038214735111987,"PPP1CA"
"positive regulation of activin receptor signaling pathway (GO:0032927)","1/7",0.038214735111987,"CSNK2B"
"regulation of cellular response to oxidative stress (GO:1900407)","1/7",0.038214735111987,"DHFR"
"signal complex assembly (GO:0007172)","1/7",0.038214735111987,"PXN"
"regulation of hydrogen peroxide metabolic process (GO:0010310)","1/7",0.038214735111987,"RAC1"
"positive regulation of histone phosphorylation (GO:0033129)","1/7",0.038214735111987,"CDK9"
"regulation of translational initiation in response to stress (GO:0043558)","1/7",0.038214735111987,"PPP1CA"
"morphogenesis of an endothelium (GO:0003159)","1/7",0.038214735111987,"CSNK2B"
"regulation of dendritic cell chemotaxis (GO:2000508)","1/7",0.038214735111987,"C1QBP"
"positive regulation of fever generation (GO:0031622)","1/7",0.038214735111987,"TNFSF11"
"negative regulation of transcription from RNA polymerase II promoter (GO:0000122)","7/566",0.0383441810521263,"UBB;C1QBP;IGF2;VHL;RBPJ;MDFI;HSPA1A"
"positive regulation of cytosolic calcium ion concentration (GO:0007204)","3/134",0.0386588381188632,"GNA15;SAA1;CXCL13"
"cellular response to organic substance (GO:0071310)","3/134",0.0386588381188632,"CDK9;LEF1;MAPK12"
"Notch signaling pathway (GO:0007219)","2/56",0.0387070492443642,"UBB;RBPJ"
"positive regulation of cysteine-type endopeptidase activity (GO:2001056)","2/56",0.0387070492443642,"CYCS;FYN"
"endosomal transport (GO:0016197)","4/230",0.0393625982539283,"TGOLN2;UBB;VTA1;ARF6"
"regulation of BMP signaling pathway (GO:0030510)","2/57",0.0399721917725462,"RBPJ;WNT1"
"granulocyte chemotaxis (GO:0071621)","2/57",0.0399721917725462,"FCER1G;SAA1"
"apoptotic process (GO:0006915)","4/232",0.0404234271717297,"PLSCR1;TNFSF12;BCL2;IKBKG"
"I-kappaB kinase/NF-kappaB signaling (GO:0007249)","2/58",0.0412528879220379,"UBB;IKBKG"
"protein homotetramerization (GO:0051289)","2/58",0.0412528879220379,"CD79A;CD247"
"receptor metabolic process (GO:0043112)","2/59",0.0425489295239857,"FCER1G;GRB2"
"neutrophil migration (GO:1990266)","2/59",0.0425489295239857,"FCER1G;SAA1"
"neuron differentiation (GO:0030182)","3/140",0.0431041492673946,"PIN1;WNT1;FOXA2"
"positive regulation of fatty acid beta-oxidation (GO:0032000)","1/8",0.0435545122546959,"IRS2"
"positive regulation of mRNA binding (GO:1902416)","1/8",0.0435545122546959,"CDK9"
"regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation (GO:0003256)","1/8",0.0435545122546959,"RBPJ"
"positive regulation of striated muscle contraction (GO:0045989)","1/8",0.0435545122546959,"RGS2"
"regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544)","1/8",0.0435545122546959,"CXCL13"
"dorsal aorta morphogenesis (GO:0035912)","1/8",0.0435545122546959,"RBPJ"
"negative regulation of muscle hypertrophy (GO:0014741)","1/8",0.0435545122546959,"RGS2"
"regulation of dendritic spine maintenance (GO:1902950)","1/8",0.0435545122546959,"FYN"
"negative regulation of receptor internalization (GO:0002091)","1/8",0.0435545122546959,"SDCBP"
"regulation of interleukin-23 production (GO:0032667)","1/8",0.0435545122546959,"RAC1"
"negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)","1/8",0.0435545122546959,"HSPA1A"
"axon regeneration (GO:0031103)","1/8",0.0435545122546959,"DHFR"
"regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)","1/8",0.0435545122546959,"CALM1"
"regulation of glycogen (starch) synthase activity (GO:2000465)","1/8",0.0435545122546959,"IGF2"
"positive regulation of calcineurin-NFAT signaling cascade (GO:0070886)","1/8",0.0435545122546959,"IGF1"
"positive regulation of dendritic cell chemotaxis (GO:2000510)","1/8",0.0435545122546959,"C1QBP"
"activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635)","1/8",0.0435545122546959,"CYCS"
"positive regulation of isomerase activity (GO:0010912)","1/8",0.0435545122546959,"PLSCR1"
"regulation of cell-cell adhesion mediated by integrin (GO:0033632)","1/8",0.0435545122546959,"CXCL13"
"forebrain neuron differentiation (GO:0021879)","1/8",0.0435545122546959,"LEF1"
"regulation of protein metabolic process (GO:0051246)","2/60",0.0438601101981058,"BTBD2;NEDD8"
"cell junction assembly (GO:0034329)","2/60",0.0438601101981058,"CDC42;VASP"
"regulation of small GTPase mediated signal transduction (GO:0051056)","3/141",0.0438689497654225,"CDC42;RHOG;RAC1"
"modification-dependent protein catabolic process (GO:0019941)","3/142",0.0446405354997872,"RNF11;NEDD8;UBE2G2"
"muscle organ development (GO:0007517)","2/61",0.0451862253545745,"IGF1;MAPK12"
"regulation of tyrosine phosphorylation of STAT protein (GO:0042509)","2/62",0.0465270721718184,"IGF1;IL2"
"positive regulation of leukocyte chemotaxis (GO:0002690)","2/62",0.0465270721718184,"C1QBP;CXCL13"
"actin cytoskeleton reorganization (GO:0031532)","2/62",0.0465270721718184,"RHOG;RAC1"
"regulation of DNA replication (GO:0006275)","2/62",0.0465270721718184,"PCNA;IGF1"
"second-messenger-mediated signaling (GO:0019932)","2/63",0.0478824495737676,"TNFSF11;PPP1R9B"
"stress-activated MAPK cascade (GO:0051403)","2/63",0.0478824495737676,"UBB;IKBKG"
"negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)","2/63",0.0478824495737676,"BCL2;HSPA1A"
"skeletal system development (GO:0001501)","3/147",0.0485995669331739,"IGF2;IGF1;WNT1"
"positive regulation of IRE1-mediated unfolded protein response (GO:1903896)","1/9",0.0488649088703906,"HSPA1A"
"phospholipid scrambling (GO:0017121)","1/9",0.0488649088703906,"PLSCR1"
"negative regulation of calcium ion transmembrane transport (GO:1903170)","1/9",0.0488649088703906,"YWHAE"
"ventricular trabecula myocardium morphogenesis (GO:0003222)","1/9",0.0488649088703906,"RBPJ"
"regulation of smooth muscle cell apoptotic process (GO:0034391)","1/9",0.0488649088703906,"IGF1"
"protein localization to endosome (GO:0036010)","1/9",0.0488649088703906,"ARF6"
"DNA damage induced protein phosphorylation (GO:0006975)","1/9",0.0488649088703906,"MAPK12"
"regulation of muscle organ development (GO:0048634)","1/9",0.0488649088703906,"LEF1"
"negative regulation of lipase activity (GO:0060192)","1/9",0.0488649088703906,"RGS2"
"iron ion homeostasis (GO:0055072)","2/64",0.0492521582336209,"UBB;NEDD8"
"carbohydrate homeostasis (GO:0033500)","2/64",0.0492521582336209,"IGF2;IGF1"
"regulation of proteolysis (GO:0030162)","2/64",0.0492521582336209,"BTBD2;NEDD8"
